"Teams","Game","Points","Conference","MaxPoints","MinPoints","MaxFinal","PointsLessGames","MaxPointsLessGames","MinPointsLessGames","MaxFinalLessGames"
"Minnesota United",6,6,"West",6,6,90,0,0,0,84
"Montreal Impact",6,6,"East",6,6,90,0,0,0,84
"New England Rev.",6,10,"East",10,10,94,4,4,4,88
"New York City FC",6,16,"East",16,16,100,10,10,10,94
"New York Red Bulls",6,9,"East",9,9,93,3,3,3,87
"Orlando City",6,10,"East",10,10,94,4,4,4,88
"Philadelphia Union",6,5,"East",5,5,89,-1,-1,-1,83
"Portland Timbers",6,5,"West",5,5,89,-1,-1,-1,83
"Real Salt Lake",6,7,"West",7,7,91,1,1,1,85
"San Jose Earthquakes",6,5,"West",5,5,89,-1,-1,-1,83
"Seattle Sounders FC",6,4,"West",4,4,88,-2,-2,-2,82
"Sporting Kansas City",6,13,"West",13,13,97,7,7,7,91
"Toronto FC",6,4,"East",4,4,88,-2,-2,-2,82
"Vancouver Whitecaps",6,10,"West",10,10,94,4,4,4,88
"Atlanta United",7,16,"East",16,16,97,9,9,9,90
"Chicago Fire",7,8,"East",8,8,89,1,1,1,82
"Colorado Rapids",7,8,"West",8,8,89,1,1,1,82
"Columbus Crew",7,10,"East",10,10,91,3,3,3,84
"DC United",7,5,"East",5,5,86,-2,-2,-2,79
"FC Dallas",7,12,"West",12,12,93,5,5,5,86
"Houston Dynamo",7,8,"West",8,8,89,1,1,1,82
"LA Galaxy",7,10,"West",10,10,91,3,3,3,84
"Los Angeles FC",7,15,"West",15,15,96,8,8,8,89
"Minnesota United",7,6,"West",6,6,87,-1,-1,-1,80
"Montreal Impact",7,6,"East",6,6,87,-1,-1,-1,80
"New England Rev.",7,11,"East",11,11,92,4,4,4,85
"New York City FC",7,17,"East",17,17,98,10,10,10,91
"New York Red Bulls",7,12,"East",12,12,93,5,5,5,86
"Orlando City",7,13,"East",13,13,94,6,6,6,87
"Philadelphia Union",7,8,"East",8,8,89,1,1,1,82
"Portland Timbers",7,8,"West",8,8,89,1,1,1,82
"Real Salt Lake",7,10,"West",10,10,91,3,3,3,84
"San Jose Earthquakes",7,5,"West",5,5,86,-2,-2,-2,79
"Seattle Sounders FC",7,5,"West",5,5,86,-2,-2,-2,79
"Sporting Kansas City",7,14,"West",14,14,95,7,7,7,88
"Toronto FC",7,7,"East",7,7,88,0,0,0,81
"Vancouver Whitecaps",7,10,"West",10,10,91,3,3,3,84
"Atlanta United",8,19,"East",19,19,97,11,11,11,89
"Chicago Fire",8,8,"East",8,8,86,0,0,0,78
"Colorado Rapids",8,8,"West",8,8,86,0,0,0,78
"Columbus Crew",8,11,"East",11,11,89,3,3,3,81
"DC United",8,5,"East",5,5,83,-3,-3,-3,75
"FC Dallas",8,13,"West",13,13,91,5,5,5,83
"Houston Dynamo",8,11,"West",11,11,89,3,3,3,81
"LA Galaxy",8,10,"West",10,10,88,2,2,2,80
"Los Angeles FC",8,16,"West",16,16,94,8,8,8,86
"Minnesota United",8,9,"West",9,9,87,1,1,1,79
"Montreal Impact",8,6,"East",6,6,84,-2,-2,-2,76
"New England Rev.",8,14,"East",14,14,92,6,6,6,84
"New York City FC",8,17,"East",17,17,95,9,9,9,87
"New York Red Bulls",8,15,"East",15,15,93,7,7,7,85
"Orlando City",8,16,"East",16,16,94,8,8,8,86
"Philadelphia Union",8,8,"East",8,8,86,0,0,0,78
"Portland Timbers",8,11,"West",11,11,89,3,3,3,81
"Real Salt Lake",8,10,"West",10,10,88,2,2,2,80
"San Jose Earthquakes",8,5,"West",5,5,83,-3,-3,-3,75
"Seattle Sounders FC",8,8,"West",8,8,86,0,0,0,78
"Sporting Kansas City",8,17,"West",17,17,95,9,9,9,87
"Toronto FC",8,7,"East",7,7,85,-1,-1,-1,77
"Vancouver Whitecaps",8,10,"West",10,10,88,2,2,2,80
"Atlanta United",9,22,"East",22,22,97,13,13,13,88
"Chicago Fire",9,11,"East",11,11,86,2,2,2,77
"Colorado Rapids",9,8,"West",8,8,83,-1,-1,-1,74
"Columbus Crew",9,14,"East",14,14,89,5,5,5,80
"DC United",9,8,"East",8,8,83,-1,-1,-1,74
"FC Dallas",9,16,"West",16,16,91,7,7,7,82
"Houston Dynamo",9,12,"West",12,12,87,3,3,3,78
"LA Galaxy",9,10,"West",10,10,85,1,1,1,76
"Los Angeles FC",9,19,"West",19,19,94,10,10,10,85
"Minnesota United",9,12,"West",12,12,87,3,3,3,78
"Montreal Impact",9,9,"East",9,9,84,0,0,0,75
"New England Rev.",9,14,"East",14,14,89,5,5,5,80
"New York City FC",9,20,"East",20,20,95,11,11,11,86
"New York Red Bulls",9,18,"East",18,18,93,9,9,9,84
"Orlando City",9,19,"East",19,19,94,10,10,10,85
"Philadelphia Union",9,8,"East",8,8,83,-1,-1,-1,74
"Portland Timbers",9,14,"West",14,14,89,5,5,5,80
"Real Salt Lake",9,10,"West",10,10,85,1,1,1,76
"San Jose Earthquakes",9,8,"West",8,8,83,-1,-1,-1,74
"Seattle Sounders FC",9,8,"West",8,8,83,-1,-1,-1,74
"Sporting Kansas City",9,17,"West",17,17,92,8,8,8,83
"Toronto FC",9,7,"East",7,7,82,-2,-2,-2,73
"Vancouver Whitecaps",9,13,"West",13,13,88,4,4,4,79
"Atlanta United",10,22,"East",22,22,94,12,12,12,84
"Chicago Fire",10,11,"East",11,11,83,1,1,1,73
"Colorado Rapids",10,8,"West",8,8,80,-2,-2,-2,70
"Columbus Crew",10,15,"East",15,15,87,5,5,5,77
"DC United",10,9,"East",9,9,81,-1,-1,-1,71
"FC Dallas",10,17,"West",17,17,89,7,7,7,79
"Houston Dynamo",10,15,"West",15,15,87,5,5,5,77
"LA Galaxy",10,10,"West",10,10,82,0,0,0,72
"Los Angeles FC",10,20,"West",20,20,92,10,10,10,82
"Minnesota United",10,12,"West",12,12,84,2,2,2,74
"Montreal Impact",10,9,"East",9,9,81,-1,-1,-1,71
"New England Rev.",10,17,"East",17,17,89,7,7,7,79
"New York City FC",10,20,"East",20,20,92,10,10,10,82
"New York Red Bulls",10,21,"East",21,21,93,11,11,11,83
"Orlando City",10,19,"East",19,19,91,9,9,9,81
"Philadelphia Union",10,11,"East",11,11,83,1,1,1,73
"Portland Timbers",10,17,"West",17,17,89,7,7,7,79
"Real Salt Lake",10,13,"West",13,13,85,3,3,3,75
"San Jose Earthquakes",10,9,"West",9,9,81,-1,-1,-1,71
"Seattle Sounders FC",10,8,"West",8,8,80,-2,-2,-2,70
"Sporting Kansas City",10,20,"West",20,20,92,10,10,10,82
"Toronto FC",10,10,"East",10,10,82,0,0,0,72
"Vancouver Whitecaps",10,13,"West",13,13,85,3,3,3,75
"Atlanta United",11,25,"East",25,25,94,14,14,14,83
"Chicago Fire",11,11,"East",11,11,80,0,0,0,69
"Colorado Rapids",11,8,"West",8,8,77,-3,-3,-3,66
"Columbus Crew",11,18,"East",18,18,87,7,7,7,76
"DC United",11,9,"East",9,9,78,-2,-2,-2,67
"FC Dallas",11,20,"West",20,20,89,9,9,9,78
"Houston Dynamo",11,18,"West",18,18,87,7,7,7,76
"LA Galaxy",11,13,"West",13,13,82,2,2,2,71
"Los Angeles FC",11,20,"West",20,20,89,9,9,9,78
